comment,Hate
"[caption]: এইমাত্র পাওয়া: সেপ্টেম্বর পর্যন্ত বন্ধ থাকবে
[caption]: স্কুল-কলেজ | Sheikh Hasina | Coronavirus | Som...
[caption]: SOMOY TV • 11K views • 25 minutes ago
[caption]: Me to poralekha
[Me]: চলে যাচ্ছি, বিদায় নিতে এসেছি",no
"[man]: বিয়ের পর সব কাজ আমরা ভাগাভাগি করে করবো
[woman]: যেমন?
[man]: তুমি শাড়ি পরবা আমি খুলে ফেলবো",no
"[আমি]: গার্লফ্রেন্ডকে ছয়টা শাড়ি পড়ে ছবি তুলে দেওয়ার জন্য বলা
[গার্লফ্রেন্ড]: ছয়টা শাড়ি কি তোর বাপে কিন্ননা দিবে বলে চিল্লাতে থাকা",yes
"[caption]: যখন রান্নঘরে গিয়ে দেখি আজকে ইফতারে আম্মু আলুর চপ বানায়নি
[Me to my siblings]: ভাইয়েরা আমার, আজ দুঃখ-ভারাক্রান্ত মন নিয়ে আপনাদের সামনে হাজির হয়েছি",no
"[caption]: ইনস্টাগ্রামের নোটিফিকেশন*
[caption]: রোজা রাখা আমি*
[রোজা রাখা আমি*]: Oh shit!",yes
[Almost every girl to her bestie]: “তুই ছেলে হলে তোকে বিয়ে করতাম”,no
"[caption]: সরকার বিরোধী মিম বানানোর পর*
[caption]: Le ছাত্রলীগ ∵
[ছাত্রলীগ]: Gang পাঠাবো তোর বাড়িতে",yes
"[caption]: কেয়ার রিয়েক্ট না পাওয়া ফেসবুক ইউজার
[caption]: Right now :
[Agitated Man]: আই পাক ইওর ছিসটেম",yes
"[caption]: সেহেরির পূর্বে আমি গোসল করতে যাওয়া বিদ্যমান
আমার বড়ভাই: এতো অল্প বয়সে এতো মজা ভালো না",no
"[আম্মু]: ছাদে কাপড় দিসি,গিয়ে নিয়ে আয় তো
Me:",no
"[caption]: বাপের বাড়ি থেকে বউ ফিরে এসে স্বামীর সাথে প্রথম রাত্রির যাপনের পর
[বউ]: *বউ",no
"[caption]: এতো মেকাপ করার পেছনে রহস্য কি জানতে চাইলে বালিকা:
[girl]: একটু আকটু মেকাপ না করলে ছেলেরা তো আর আমার পিছন পিছন ঘুরবো না",no
[caption]: যখন বাপের কাছে বিড়ি খাইতে গিয়া ধইরা খাইছিলাম,no
"[caption]: ২০০ টাকা বিকাশ করে যখন ইমু সেক্স করতে পারি না
[caption]: Paise barbaad bhench*d",yes
"[woman]: I LIKE HIS
[man]: I LIKE HER",no
"[আমি]: যখন সেহরির পূর্বে ভাবিকে গোসল করতে যেতে দেখি
[আমি]: Kuch To Hua Hai",no
"[Woman]: ব্রেকআপের থেকে কষ্টের কিছু নেই
[Man]: কখনো প্যান্টের চেনে নুনু আটকেছে?
[Woman]: হ্যাঁ...একবার!!",yes
"[caption]: দীর্ঘদিন পরে যখন দেখি ক্রাশ তার বফের সাথে সেলফি আপলোড দিচ্ছে তখন আমি:
[আমি]: এতো বড় হইয়া গেছে",no
[caption]: বিকাশে সালামী চাওয়ার পর যখন সবাই বাসায় আইসা নগদে সালামী দিয়ে যায়,no
"[caption]: Boys Let's Confuse Girls -Bisa
[caption]: 12:00 AM
[caption]: 3:00 AM
[caption]: 6:00 AM",no
"Me: ""স্যার এক নাম্বারের জন্য পাশ করি নাই। দেন না স্যার!""
Sir: তো আমি কী করবো?",no
[Girlfriend]: সাবধানে থেকো মেহেদী! আজকে মেয়েরা তোমাকে অনেক লাগাবে.,yes
"[caption]: Nobody:
[caption]: Every Pornstar at the end of video :",yes
[caption]: মেয়েদের থেকে ছেলেদের পাশের হার বেশি হওয়া শর্তে পত্রিকায় মেয়েদের ছবি আসে কেন? কারণ:,no
[caption]: Some girl don't need dslr Even in 2MP camera they look beautiful,no
"[caption]: যে রাখে
[caption]: সেই পা কাছে তুলে দেয়",no
"[caption]: গার্লফ্রেন্ড যখন ন্যুডস দিতে রাজি হয়না
[ফাকবয়]: করুনা করে হলেও একটু দিও",yes
"[Man]: জান তোমার মনটা খুব নরম
[caption]: RED BMM
[Woman]: হাত সরা মাদারচোেদ এইটা মন না",yes
"[caption]: *ভেক্টর রাশি
[caption]: *স্কেলার রাশি
[caption]: মান ও দিক উভয়ই আছে
[caption]: শুধু মান আছে, dick নেই",yes
"[*horny me]: horny me
[*my dick]: my dick
[*shaitan]: shaitan
[caption]: meme নকশা",yes
"[Mother-in-law]: বৌমা নাতি দেখতে তো আমার ছেলের মতো হলো না
[Daughter-in-law]: শোনেন আমি কোনো ফটো মেশিন না যে হুবহু ডেলিভারি দিবো",no
[caption]: যখন তুমি কোনো বিয়ে বাড়িতে যাও কিন্তু কাউকেই চিনো না!,no
"[caption]: Imagine her as your Biology teacher
[caption]: Fallopian Tube
[caption]: (Oviduct)
[caption]: Endometrium
[caption]: Ovary
[caption]: Cervix
[caption]: Nipple
[caption]: Duct
[caption]: Opening",no
"[caption]: রুম ডেটে নিয়ে যাবার পূর্বে Fuckboy to his Nibbi :
[Fuckboy]: কথা দিলাম পলিথিনে মাংস রাখবো",yes
"[caption]: Nobody :
[caption]: Almost every feminist be like
[Woman]: বয়ফ্রেন্ড দিয়ে কি করবি চল আমরাই বিয়ে করে ফেলি",no
"[Me]: *Me trying to hold on my sperm while masterbating for a long time ;
[My Dick]: আমার ধৈর্যের বাঁধ ভেঙে যাচ্ছে",yes
"[caption]: কিছুসময় মানুষের পা ধরেও ক্ষমা চেয়ে নিতে হয় 😎
[caption]: রিন্টু
[caption]: ছোট্ট একটি ক্ষমা একটি মধুর সম্পর্ক অটুট রাখতে 🥰🥰",no
"[caption]: When you visit porn website and see the category Bangladeshi
[caption]: তুই আর প্রাউড, ভেরি ভেরি প্রাউড",yes
"[caption]: কচি দেবর দেখা বিদ্যমান সাবিতা
[caption]: ভাবি
[caption]: বি লাইকঃ",yes
"[caption]: কিস্তির টাকা
[caption]: না দেওয়ায় মেয়েটিকে ধরে মারছে
[caption]: মানবতা আজ কোখাই?",no
"[caption]: রাত বারোটা বেজে যাওয়া বিদ্যমান
[caption]: Fuckboy to his Nibbi:
[Fuckboy]: Nudes kidhar hai?",yes
"[caption]: The art
[caption]: The artist",no
"[son]: বাবা Toilet কী?
[father]: আমরা জানি না বাবা,আমরা ইন্ডিয়ায় থাকি",no
"Me: ok google
Google assistant: ok indeed, how can i help?
Me: যাক! আমার ডাকে সাড়া দেয়ার মতো অন্তত একজনকে পাওয়া গেল",no
[caption]: পাশের বাসার সাদিয়ার রেজাল্ট অনেক ভালো হইছে তাই ওর পা ধুয়ে পানি খেতে আসা আমি,no
"[caption]: kylie jenner এর পোস্ট এ ""টাকা দে"" কমেন্ট করার পর
[interviewee]: আমি একজন প্রকৃত দেশপ্রেমিক",no
"[caption]: everyone else
[caption]: my life
[caption]: me",no
"[caption]: Nobody :
[caption]: Girls : When their period is late
[caption]: Bengali thug life",no
"[girlfriend]: ওয়াইলেটে টাকা থাকেনা তো রাখো কেন ওয়াইলেট পকেটে?
[boyfriend]: তুমিও তো ব্রা পড়ো,আমি কিছু বলছি সে ব্যাপারে?",yes
"[আমি]: শান্তিতে মোবাইল চালাতে থাকা আমি
[caption]: আমার মোবাইল
[আম্মু]: আম্মু",no
"[প্রতিবেশী]: আপনার স্বামী সেদিন দেখলাম অন্য মেয়ের সাথে রিক্সায়
[দেশী ভাবি]: আমার জামাইয়ের অনেক কারেন্ট ঘরে বউ চোদে বাহিরে মাগী",yes
"[caption]: আম গাছে
[caption]: জাম ধরসে ধ্যাত!",yes
"[caption]: পরীক্ষায় প্রশ্নপত্র COMMON না আসায় বাড়ী এসে হৃদয় বিদারক কান্নায় ভেঙ্গে পড়ে এই মেধাবী মেয়েটি
[caption]: প্রচুর কষ্ট",no
"[caption]: যখন অপরিচিতদের বাসায় যাই এবং মা বলে ‘চুপ করে বসে থাকো’
6 years old me:",no
[caption]: আমি এবং আমার বন্ধুগন আমাদের ক্রাশের বিয়েতে ক্রাশের বাচ্চার মামা হিসাবে দাওয়াত খেতে এসেছি,no
"[caption]: বিদেশ থেকে স্বামী দেশে ফেরত আসা বিদ্যমান বাঙালি আন্টিঃ
[বাঙালি আন্টি]: আজকে থেকে পড়বো না আর প্যান্টি",yes
"[caption]: যেমন কর্ম
[caption]: তেমন ফল",no
"[Groom]: তুমি অনুমতি দিলে একটা জয়েন্ট ধরাই?
[Bride]: একটা কেন! দুইটা ধরাও..",no
"[caption]: আমি যখন পাশের বাসার ভাবিকে শাড়িতে ছাদে দেখি
[caption]: করোনায় বাংলাদে
[caption]: মোট সুস্থ: ১.০০
[caption]: IN নিয়ন্ত্রণে কাজ করছে ফায়ার সার্ভিসের ৫০টি ইউনিট",no
"[caption]: BRAZZERS
[caption]: BRAZZERS",yes
"[caption]: কারাগারে জায়নামাজ চেয়েছেন, নামাজ পড়ে দেশবাসীর জন্য দোয়া করবেন -সাবরিনা সম্প্রতি বিশ্বব্যাপী মহামারী করোনা পরিস্থিতিতে বিনা পারিশ্রমে দুর্নাম কামিয়েছে ডা: সাবরিনা। দেশের মানুষকে বিন....",yes
"[caption]: Boys Weakness 😍
[Man]: Kya maal hai yaar",yes
"[caption]: 4X2=8 নড়বে চড়বে খাট
[Man]: দুই একে দুই
[caption]: Hasiye Charbo হাসিয়ে ছাড়বো
[Woman]: চলো আমরা শুই
[Afrin Rishaa]: 3,4 a baro jore jore koro",yes
"[caption]: যখন হেডফোন ব্যাগে ঢুকাই
[caption]: যখন ব্যাগ থেকে বের করি",no
"[caption]: যখন আপনি কাউকে ফাক করেননি কিন্তু তারপরেও আপনাকে ফাকবয় খেতাব দেয়া হয় 😊 😑
[caption]: Single-পোলাপাইন
[man]: না চুদে নিব্বি, খেতাব পেলাম দিবি 😊",yes
"[caption]: Julia Ann
[caption]: Julia Ann lite",no
"[caption]: Expectation
[caption]: Reality",no
"[woman]: ঢাকায় নাকি খুব বৃষ্টি হচ্ছে? রাস্তাঘাটের কি অবস্থা?
[man]: লন্ডন বানাতে যেয়ে বানিয়ে ফেলেছে ভেনিস
রাস্তায় হাঁটতে গেলেই ডুবে যাচ্ছে পেনিস",yes
[caption]: কাজে দেরি করে আসায় শিশুটিতে কি নির্যাতন করা হচ্ছে,yes
,
"[Girl]: আমার hot ছেলে অনেক পছন্দ
[Boy]: আমার জন্য একদিন বাসায় আগুন লেগে গিয়েছিল",yes
"[caption]: বাইরে বৃষ্টি হওয়া বিদ্যমান*-
[caption]: খাটের ৩ বছরের গ্যারান্টি দেওয়া রাজমিস্ত্রি-",no
"[CID Officer 1]: স্যার লাশের পাশে খাট ভাঙা ছিলো
[ACP Pradyuman]: এর মানে কিছু বুঝেছো দয়া?
[CID Officer 2]: খুনি ইচ্ছে করে খাট ভেঙেছে
[ACP Pradyuman]: বাল বুঝেছো! আগের রাতে খেলা হয়েছে",yes
[caption]: যখন তোমার কোনো আত্মীয় তোমার মা-বাবাকে না বলে টাকা দেয়!,no
"[caption]: ক্রাশ যখন শাড়ি পড়ে ফেসবুকে ছবি আপলোড দেয়
আমি: Unfortunately, চোখের পলক has stopped.",no
"[caption]: প্রতিদিন একবার *
[caption]: মাসে একবার *",no
"[caption]: Haircut according to our teachers
[caption]: Good students
[caption]: Bad students
[caption]: Toppers",no
"[caption]: রাত বারোটা বেজে যাওয়া বিদ্যমান
[Me]: তোর এতো শখ আয় কইতেতে?",no
"[caption]: কে বলে মানবতা হারিয়ে গেছে ___??
[caption]: আজও বেঁচে আছে মানবতা 😊😊
[caption]: তবুও একদল লিজেন্ড এসে হা হা মেরে চলে যাবে 😟",no
"[caption]: যদি বেঁচে যাও এবারের মতো, মনে রেখো সাথে ছিলাম আমরা। তোমার gf/bf নয়",no
"[caption]: হালকা বৃষ্টি শুরু হওয়া বিদ্যমান
[caption]: Horny bhabi to her husband:",yes
"[caption]: ক্লাসে অতিরিক্ত দুষ্টুমি করার ফলে ম্যাডাম যখন বলে তোরে দুষ্টুমিতে মেডেল দেওয়া দরকার
[ম্যাডাম]: নে মেডেল",no
"[Girl]: এই তোমার লাচ্ছি নাই কেন?
[Boy]: আসলে ফাহিমের এখন আর লাচ্ছি বের হয়না
[Girl]: ঊর্ধ্ব গগনে তুলিয়া ঠ্যা* হুদাই করিলাম ব্যাং ব্যাং",yes
[caption]: যখন তুমি পরীক্ষার প্রথম প্রশ্নের দিকে তাকাও!,no
[caption]: - জবা কি পারবে অপু ভাইকে ফিরিয়ে আনতে?,no
"[Wife]: When her relatives are coming
[Wife]: When husband's relatives are coming",no
"মা: আমার ছেলে Doctor হবে।
বাবা: না, Engineer হবে!
লে ছেলে-: হেল্পার হবো তার মনের বালে!",yes
[caption]: What i will draw when i get this magical pencil,no
"[Boyfriend]: আমি তোমার শরীর চাইনা শুধু মন চাই
[Girlfriend]: ক্যান তোমার মেশিন কাজ করেনা",yes
"[Youth/Influencer]: আমরা দেশকে বিশ্বের কাছে রিপ্রেজেন্ট করি
[Cricketer]: হ্যাঁ, আমি তো ক্রিকেট মাঠে ঘোড়ার জন্য ঘাস কাটি
[caption]: Trust",no
"[mother]: গরু কুরবানী দেয়া পশু হত্যার সামিল
[son]: তাহলে গরুর দুধ টেনে বের করাও যৌন হয়রানি, খাস কেন মুরুক্ষুচোদা?",yes
"[caption]: BABY MODE
[caption]: MOMMY MODE",no
"[caption]: বাথরুমে যেয়ে হুদায় কলমের কালি শেষ না করে বাবা কে বলো খাতা কিনে দিতে 😟
[caption]: খাতার মাঝে হুদাই আঙ্গুল দিয়া গুতাগুতি না করে বাবা কে বলো কলম কিনে দিতে 😟",yes
"আমি: আম্মু ঈদের সালামি দিবা না?
আম্মু: ভাত খা!
[Me]: চাইলাম কী? কইলো কী:)",no
"[caption]: যখন একা সেলুনে যাই
[caption]: যখন আম্মুর সাথে সেলুনে যাই!",no
"[Woman in Glasses]: ক্যামেরা রেডি তো?
[Surprised Woman]: !!!
[Woman in Red]: উফ কাকা কতো হট!
[Woman Leaning Down]: খেলা কি শুরু করবো?
[Man in Suit]: আমিওতো শিহরিত!",yes
"[caption]: অনেকক্ষণ বসে থাকার পর, যখন পাদ আসে...",no
"[caption]: ছাত্রলীগ কে ""আমার গরু ধানের শীষ পছন্দ করে"" বলার পরে বিকালে যখন এসে দেখি মাংস কাটাকুটি সব শেষ
[caption]: mission passed!
[caption]: RESPECT + 99",yes
"[caption]: সবাই আমাকে যেটা ভাবে
[caption]: আসলে আমি যে রকম",no
"[caption]: ০.০০৬২ সেকেন্ডের জন্য দরজা লাগানোর পরে বাংলাদেশের পরিবারের সদস্য:
মা: মা
বাবা: বাবা
ছোট ভাই: ছোট ভাই",no
"[caption]: বাথরুমে এতো সময় লাগে কেন বলায়
[caption]: বাপকে আপনি যখন বিয়ে করার কথা বলেন
[caption]: বাপজান:
[father]: আপনার কথাবার্তা তো বাবা আমি কিছু বুঝতে পারতেছি না",no
"[caption]: বিয়ের পর যখন বাসর রাত সম্পর্কে জ্ঞান দিতে আসে আত্মীয়রা
আমি: আরে কাকে খেলা শিখান?
[caption]: উজ্জ্বল",no
"[caption]: রুমেডেটে গিয়ে যখন ফাকবয় জানতে পারে তার গার্লফ্রেন্ডের দেশ অনেক আগেই স্বাধীন হয়েগেছে
ফাকবয়: এতদিন এসব আমার চোখে পড়েনি কেন?",yes
"[caption]: প্রবাস থেকে দীর্ঘদিন পরে দেশে আসার পর বউয়ের সাথে প্রথম রাত্রিয়াপনে স্বামী:
[caption]: Bengali thug life",no
"[caption]: যুক্তরাজ্য থেকে ফোন পাঠা
[caption]: যুক্তরাজ্য থেকে পারফিউম পাঠা
[caption]: যুক্তরাজ্য থেকে চকলেট পাঠা
[caption]: যুক্তরাজ্য থেকে রড পাঠা",no
"[caption]: আয়রে ভাই দলে দলে পুতিন ভাইয়ের ভ্যাকসিন নিতে
[caption]: বৈষ্ণব পুতিন বলিয়া করোনা যাবে এবার চলিয়া",no
"[caption]: আমি মধ্যরাতে ফার্মেসীতে নাপা কিনতে যাওয়া পর
[দোকানদার]: তোর কি বেলুন লাগবো?",no
"[caption]: I'm weak in maths 🤫
[caption]: What you see
[caption]: What a mathematician see",no
"[caption]: শালীর সাথে অবৈধ কার্যকলাপে ধরা খাওয়ার
[Wife]: তোর কয়টা লাগে?",yes
"[Wife]: বিয়ের পর তুমি আমার জন্য কি করেছো?
[Husband]: তোমার দায়িত্ব আমার কাঁধে তুলে নিয়েছি",no
"[caption]: যখন ভার্সিটির সিনিয়র বড়ভাইয়ের ক্রাশকে জুনিয়র প্রপোজ করে সিনিয়র বড়ভাইঃ
[senior brother]: তুই কিন্তু বহুত বড় জায়গায় হাত দিসোস",yes
"বাবা-মাঃ ঈশ্বর আমার মেয়েকে তুমি দীর্ঘ আয়ু দান করো”
মেয়েঃ Oh yes kill me baby",yes
"[caption]: *বাসর রাতে*
[caption]: Almost every girls in mind :
[caption]: “ও কি আজ রাতেই করবে”",no
"[caption]: That moment:
[caption]: ‘যখন তুমি বুঝতে পারো পাদের সাথে একটু হাস্সও বেরিয়ে গেছে’
You:",yes
[বাংলা ম্যাম]: সবাই লিঙ্গ বের করো এক এক করে সবাইকে ধরবো,yes
"[আমি]: রাতে ঘুমানোর সময় আমি
[চাদর/ কাতা]: চাদর/ কাতা
[ফুল স্পিডে দেওয়া ফ্যান]: ফুল স্পিডে দেওয়া ফ্যান",no
"[caption]: স্কুলের বাথরুম থেকে বাইরে বের হবার পর:
[caption]: এতে রয়েছে হাজারো মুতের সৌরভ",yes
"[caption]: দোস্ত পাঁচশো টাকা হবে খোদার কসম কালকে ফেরত দিয়ে দিমু বইলা যখন একমাস হবার পর বন্ধুর সাথে দেখা হয়
[character in image]: খানকির পোলা তোরেই তো আমি খুঁজতাছি",yes
"[caption]: আমি
[caption]: ক্রাশ
[caption]: ক্রাশ
[caption]: ক্রাশের প্রেমিক",no
আমি: প্রথমবার পট করে রিক্সা দিয়ে বাসায় যাওয়ার পথে,no
"[caption]: আয়হায় ভাই!
[caption]: আপনিও ক্রাশরে প্রপোজ করে দিলেন?
[caption]: Welcome to the blocklist",no
"[Anushka]: Ae kohli chauka marna chauka
[caption]: SEVERAL MONTHS LATER...",no
"[caption]: নিজেকে আয়নায় যেমন দেখায়
[caption]: নিজেকে মোবাইলের ক্যামেরায় যেমন দেখায়",no
"বাবাঃ যা চালের বস্তাটা ঘরে নিয়ে যা
মাঃ আমার ছেলে এতো ভারী বস্তা কিভাবে তুলবে
Meanwhile ছেলেঃ",no
"[caption]: ভুলবশত স্যারকে ম্যাডাম বলে ফেলার পর
[গোটা ক্লাসের শিক্ষার্থী]:",no
"[My friend]: দু-দিন ঢাকায় থেকে, গ্রামে এসে শুদ্ধ ভাষায় কথা বলা আমার বন্ধু।
[Me]: বন্ধুর মুখে শুদ্ধ ভাষা শুনে বোকাচোদা হয়ে যাওয়া আমি।",yes
"[caption]: প্রেম করার আগে
[caption]: প্রেম করার পর
[caption]: প্রেম করার এক মাস পর
[caption]: দুইমাস পর...",no
"[caption]: বৌদির সেক্সি ফিগার দেখা বিদ্যমান
আমি-:",yes
*আমি: প্রেম-ভালোবাসা,no
"[caption]: বড় কোন দুর্ঘটনা কিংবা হতাশা থেকে মুক্তি পাওয়ার পর
[Man]: এখন আমার প্রথম কাজ হচ্ছে নামাজ আদায় করা",no
"Nibba : বলো তো আট দশে কত হয়?
Nibbi : আশী।
Nibba : আমি তোমায় ভালোবাসি।",no
"[caption]: যখন তুমি তোমার ক্রাশকে ফলো করতে থাক, এবং সে তা বুঝে ফেলে
[caption]: You:",no
"[Man]: মেয়েদের বাইক চালানো উচিত না
[Woman]: কেনরে গিয়ার কি নুনু দিয়ে ফালায?",yes
"[Woman 1]: আমি হটি!
[Woman 2]: আমি বেশি হটি!
[caption]: আমি Binod!",no
"[caption]: আমাদের
[caption]: চাওয়া
[caption]: পাওয়া
[caption]: না বুঝলে কার্টুন দেখ",no
"Someone: লালডা না কালাডা?
Me: তোর নানির সাওয়াডা
[caption]: দেশ কথা",yes
"[caption]: - দুখ আসবে না জেনেও
- চুবার নামেই ভালোবাসা",yes
"[caption]: মামা ঝাল বেশি দিয়েন কিন্তু
[caption]: দুই* মিনিট পর...",no
"[The Woman]: তুই ফাঁকবয়
[The Man]: তুই বারোবাতারি
[* নিষ্পাপ আমি]: ফাঁকবয়, বারোবাতারি এগুলা কি বাংলা একাডেমির নতুন আবিষ্কার নাকি 🤨",yes
"[Me]: শান্তিতে p*rn দেখতে থাকা আমি*
[caption]: You have used 100% of 2GB-72Hours-TK45. Validity:
[caption]: DAILY MEME FOR YOU",yes
"[boyfriend]: বলতো, পাখি পাকা পেঁপে খায়
[girlfriend]: শুধু পাকা পেঁপে কেন, কলাও খায়, জাস্ট বলে দেখ",yes
"[man]: চলো দূরে কোথাও থেকে ঘুরে আসি
[woman]: চুদবার চাও কইলেই পারো",yes
"[পড়াশোনা]: পড়াশোনা
[ভালো রেজাল্ট]: ভালো রেজাল্ট
[আমি]: আমি",no
"[caption]: সকালের মিষ্টি রোদে ছবি
[অন্যদের]: অন্যদের
[আমার]: আমার",no
"[caption]: Social Distancing.
[caption]: Strictly for ADULTS",no
"[caption]: যখন আম্মু মাইর দেওয়ার পরে বলে কান্না করলে আবার মাইর খাবি
[caption]: ৫ বছর বয়সী আমি :",no
[caption]: শহর থেকে যখন গ্রামে যায় চাচাতো বোন গ্রামের চাচাতো ভাই:,no
[caption]: * মেঘ * রোদ মেঘের কোলে রোদ হেসেছে!,no
"[Dipjol]: আমি ডিপজল,
[Dipjol]: কাজ করছি
[Dipjol]: পাটক্ষেত নিয়ে",yes
"[caption]: বৌদি ঘর ঝাড়ু দিতে গিয়ে যখন বুক থেকে ওড়না পড়ে যায়:
[caption]: * My friends",no
"[বাবাঃ]: আমাদের মেয়ে ডাক্তার হবে
[মাঃ]: আমাদের ইঞ্জিনিয়ার হবে
[caption]: লে বেটিঃ",no
"[caption]: বিয়ের পর শ্বশুর বাড়িতে গিয়ে খাট ভাঙে ফেলার পর
শ্বশুরবাড়ির লোকজন: জামাই তো দেখি ভূমিকম্প এক্সপার্ট",yes
"[caption]: Bangladeshi
[caption]: Avatar
[caption]: বাবু খাইছো••",no
"[আমি]: আমি
[আম্মু]: আম্মু
[caption]: পড়াশোনার চাপ",no
[caption]: রুমডেট থেকে প্রথমবার Anal করে ফিরে আসা বিদ্যমান নিব্বি:,yes
"[caption]: *বাসর রাতের আগে
[caption]: *বাসর রাতে দুই রাউন্ড হওয়ার পর",no
"[caption]: Me when my male friend says
[male friend]: “দোস্ত একটা মাইয়া দে”
[woman]: এইডা খানকিপাড়া পাইছোছ?",yes
"[caption]: বয়ফ্রেন্ড থাকা সত্ত্বেও যখন মেয়েটি তার বেস্টফ্রেন্ড কে বেশি পাত্তা দিয়ে ফেলে
[Girl]: বিধি তুমি বলে দাও আমি কার",no
"[caption]: হালকা বাতাস দেওয়া বিদ্যমান
[caption]: আমার লুঙ্গি:
[caption]: KOKILA MODI'S ANGRY SHIT",yes
"[caption]: যখন বাসে লেডিস সিটে কোনো ছেলে বসে পড়ে
[femudidi]: আরে দাঁড়া করান না একে...",yes
"[caption]: মেহেদী লাগানোর আগে
[caption]: মেহেদী লাগানোর পরে",no
"[Woman]: তুমি ছেলে নাকি ম্যাগি
[Man]: কেন বলতো
[Woman]: ম্যাগি এর মতো তোমার ও দুইমিনিটে হয়ে যায় তাই বললাম",yes
"[caption]: প্রথমবার ঘসাঘসির ভিডিও দেখার পর
[Me]: Me to my friend :
[Me]: Mast hai yaar! Apun ko bhi karne ka hai",yes
"[Woman]: এবারে পুজো কিভাবে কাটাবো আমার যে কুঁচি ধরার কেউ নেই
[Man]: কুঁচি ধরা লোক নেই তো কি হয়েছে খোলার লোক তো আছে",yes
"[caption]: যখন আমি কারো কল রিসিভড করে অন্য রুমের দিকে যাই,
[আম্মু]:",no
